id,item_name,use_case,file,pixels,kb,priority,notes,prompt
F4T-013,Classic Eggs Benedict,food-hero,f4t-013__classic-eggs-benedict.jpg,2048x2048,1003,high,pilot round 1; confirm with kitchen: side items; bread type,"Use case: food-hero | Asset type: menu photo - Eggs Brunch | Primary request: 2 poached eggs with smoked ham on toasted bread, glossy hollandaise, side greens and tomato | Scene/backdrop: plain white or light-wood table, clean neutral background, no props beyond the dish and its own sides | Subject: Classic Eggs Benedict - the food or drink exactly as described, with the correct portion, container and garnish | Style/medium: natural daylight food photography, honest home-kitchen plating | Composition/framing: square 1:1 format | Lighting/mood: soft daylight from the side-left with gentle fill, natural shadows | Mood: honest, fresh, home-kitchen made - appetizing without looking staged | Color palette: fresh natural colours, plenty of green and red accents on white crockery, light wood and white surfaces | Materials/textures: real food texture: crumb and crust, glossy sauce, fresh herbs, natural moisture | Constraints: the dish exactly as the kitchen serves it (ingredients, portion, plating); fresh and appetizing at first glance; correct portion and garnish exactly as described; visible food texture (crumb, crust, glossy sauce, fresh herbs); steam only on hot dishes; photographic realism with one consistent light direction; colour, shape and proportions true to the reference image | Avoid: ingredients that are not in the description; extra sides; restaurant logo or text; wilted, dry or plastic-looking food; fake or misplaced garnish; cluttered props; messy spills; watermark or caption bar; misspelled, invented or unapproved text or claims; unapproved health, nutrition or certification claims; HDR look, heavy vignette or oversaturated colour"
F4T-066,Hummus Wrap,food-hero,f4t-066__hummus-wrap.jpg,2048x2048,796,high,pilot round 1,"Use case: food-hero | Asset type: menu photo - Healthy Wraps | Primary request: Roasted eggplant, zucchini, capsicum and carrot with hummus in a tortilla, hummus pot on the side | Scene/backdrop: plain white or light-wood table, clean neutral background, no props beyond the dish and its own sides | Subject: Hummus Wrap - the food or drink exactly as described, with the correct portion, container and garnish | Style/medium: natural daylight food photography, honest home-kitchen plating | Composition/framing: square 1:1 format | Lighting/mood: soft daylight from the side-left with gentle fill, natural shadows | Mood: honest, fresh, home-kitchen made - appetizing without looking staged | Color palette: fresh natural colours, plenty of green and red accents on white crockery, light wood and white surfaces | Materials/textures: real food texture: crumb and crust, glossy sauce, fresh herbs, natural moisture | Constraints: the dish exactly as the kitchen serves it (ingredients, portion, plating); fresh and appetizing at first glance; correct portion and garnish exactly as described; visible food texture (crumb, crust, glossy sauce, fresh herbs); steam only on hot dishes; photographic realism with one consistent light direction; colour, shape and proportions true to the reference image | Avoid: ingredients that are not in the description; extra sides; restaurant logo or text; wilted, dry or plastic-looking food; fake or misplaced garnish; cluttered props; messy spills; watermark or caption bar; misspelled, invented or unapproved text or claims; unapproved health, nutrition or certification claims; HDR look, heavy vignette or oversaturated colour"
F4T-079,Swedish Pancakes,food-hero,f4t-079__swedish-pancakes.jpg,2048x2048,841,high,pilot round 1,"Use case: food-hero | Asset type: menu photo - Waffles / Oats | Primary request: Thin folded pancakes topped with berry sauce, cream and fresh mint | Scene/backdrop: plain white or light-wood table, clean neutral background, no props beyond the dish and its own sides | Subject: Swedish Pancakes - the food or drink exactly as described, with the correct portion, container and garnish | Style/medium: natural daylight food photography, honest home-kitchen plating | Composition/framing: square 1:1 format | Lighting/mood: soft daylight from the side-left with gentle fill, natural shadows | Mood: honest, fresh, home-kitchen made - appetizing without looking staged | Color palette: fresh natural colours, plenty of green and red accents on white crockery, light wood and white surfaces | Materials/textures: real food texture: crumb and crust, glossy sauce, fresh herbs, natural moisture | Constraints: the dish exactly as the kitchen serves it (ingredients, portion, plating); fresh and appetizing at first glance; correct portion and garnish exactly as described; visible food texture (crumb, crust, glossy sauce, fresh herbs); steam only on hot dishes; photographic realism with one consistent light direction; colour, shape and proportions true to the reference image | Avoid: ingredients that are not in the description; extra sides; restaurant logo or text; wilted, dry or plastic-looking food; fake or misplaced garnish; cluttered props; messy spills; watermark or caption bar; misspelled, invented or unapproved text or claims; unapproved health, nutrition or certification claims; HDR look, heavy vignette or oversaturated colour"
F4T-036,Caesar Salad,food-hero,f4t-036__caesar-salad.jpg,2048x2048,1112,high,pilot round 1; confirm with kitchen: current photo looks like a scoop; confirm it is sliced chicken,"Use case: food-hero | Asset type: menu photo - Salads | Primary request: Roasted chicken breast, bacon, olives, parmesan, tomato, onion and cucumber over romaine with Caesar dressing | Scene/backdrop: plain white or light-wood table, clean neutral background, no props beyond the dish and its own sides | Subject: Caesar Salad - the food or drink exactly as described, with the correct portion, container and garnish | Style/medium: natural daylight food photography, honest home-kitchen plating | Composition/framing: square 1:1 format | Lighting/mood: soft daylight from the side-left with gentle fill, natural shadows | Mood: honest, fresh, home-kitchen made - appetizing without looking staged | Color palette: fresh natural colours, plenty of green and red accents on white crockery, light wood and white surfaces | Materials/textures: real food texture: crumb and crust, glossy sauce, fresh herbs, natural moisture | Constraints: the dish exactly as the kitchen serves it (ingredients, portion, plating); fresh and appetizing at first glance; correct portion and garnish exactly as described; visible food texture (crumb, crust, glossy sauce, fresh herbs); steam only on hot dishes; photographic realism with one consistent light direction; colour, shape and proportions true to the reference image | Avoid: ingredients that are not in the description; extra sides; restaurant logo or text; wilted, dry or plastic-looking food; fake or misplaced garnish; cluttered props; messy spills; watermark or caption bar; misspelled, invented or unapproved text or claims; unapproved health, nutrition or certification claims; HDR look, heavy vignette or oversaturated colour"
F4T-002,California Breakfast Set,food-hero,f4t-002__california-breakfast-set.jpg,2048x2048,1148,high,"pilot round 1; confirm with kitchen: how the eggs are served (shelled/broken), toast count","Use case: food-hero | Asset type: menu photo - Breakfast Set | Primary request: 1 chorizo sausage link, 2 poached eggs, fresh avocado, quinoa salad, sour-dough toast | Scene/backdrop: plain white or light-wood table, clean neutral background, no props beyond the dish and its own sides | Subject: California Breakfast Set - the food or drink exactly as described, with the correct portion, container and garnish | Style/medium: natural daylight food photography, honest home-kitchen plating | Composition/framing: square 1:1 format | Lighting/mood: soft daylight from the side-left with gentle fill, natural shadows | Mood: honest, fresh, home-kitchen made - appetizing without looking staged | Color palette: fresh natural colours, plenty of green and red accents on white crockery, light wood and white surfaces | Materials/textures: real food texture: crumb and crust, glossy sauce, fresh herbs, natural moisture | Constraints: the dish exactly as the kitchen serves it (ingredients, portion, plating); fresh and appetizing at first glance; correct portion and garnish exactly as described; visible food texture (crumb, crust, glossy sauce, fresh herbs); steam only on hot dishes; photographic realism with one consistent light direction; colour, shape and proportions true to the reference image | Avoid: ingredients that are not in the description; extra sides; restaurant logo or text; wilted, dry or plastic-looking food; fake or misplaced garnish; cluttered props; messy spills; watermark or caption bar; misspelled, invented or unapproved text or claims; unapproved health, nutrition or certification claims; HDR look, heavy vignette or oversaturated colour"
F4T-003,F4T Full English,food-hero,f4t-003__f4t-full-english.jpg,2048x2048,1165,high,pilot round 1; confirm with kitchen: exact components and count of each,"Use case: food-hero | Asset type: menu photo - Breakfast Set | Primary request: Full English breakfast; no black pudding - eggs, bacon, sausage, beans, tomato, mushrooms, toast | Scene/backdrop: plain white or light-wood table, clean neutral background, no props beyond the dish and its own sides | Subject: F4T Full English - the food or drink exactly as described, with the correct portion, container and garnish | Style/medium: natural daylight food photography, honest home-kitchen plating | Composition/framing: square 1:1 format | Lighting/mood: soft daylight from the side-left with gentle fill, natural shadows | Mood: honest, fresh, home-kitchen made - appetizing without looking staged | Color palette: fresh natural colours, plenty of green and red accents on white crockery, light wood and white surfaces | Materials/textures: real food texture: crumb and crust, glossy sauce, fresh herbs, natural moisture | Constraints: the dish exactly as the kitchen serves it (ingredients, portion, plating); fresh and appetizing at first glance; correct portion and garnish exactly as described; visible food texture (crumb, crust, glossy sauce, fresh herbs); steam only on hot dishes; photographic realism with one consistent light direction; colour, shape and proportions true to the reference image | Avoid: ingredients that are not in the description; extra sides; restaurant logo or text; wilted, dry or plastic-looking food; fake or misplaced garnish; cluttered props; messy spills; watermark or caption bar; misspelled, invented or unapproved text or claims; unapproved health, nutrition or certification claims; HDR look, heavy vignette or oversaturated colour"
F4T-067,Mushroom Burger,food-hero,f4t-067__mushroom-burger.jpg,2048x2048,930,medium,pilot round 1,"Use case: food-hero | Asset type: menu photo - Burger / Bagel | Primary request: Shiitake mushroom patty with vegan cheese, yellow mustard and ketchup in a seeded bun, with fries | Scene/backdrop: plain white or light-wood table, clean neutral background, no props beyond the dish and its own sides | Subject: Mushroom Burger - the food or drink exactly as described, with the correct portion, container and garnish | Style/medium: natural daylight food photography, honest home-kitchen plating | Composition/framing: square 1:1 format | Lighting/mood: soft daylight from the side-left with gentle fill, natural shadows | Mood: honest, fresh, home-kitchen made - appetizing without looking staged | Color palette: fresh natural colours, plenty of green and red accents on white crockery, light wood and white surfaces | Materials/textures: real food texture: crumb and crust, glossy sauce, fresh herbs, natural moisture | Constraints: the dish exactly as the kitchen serves it (ingredients, portion, plating); fresh and appetizing at first glance; correct portion and garnish exactly as described; visible food texture (crumb, crust, glossy sauce, fresh herbs); steam only on hot dishes; photographic realism with one consistent light direction; colour, shape and proportions true to the reference image | Avoid: ingredients that are not in the description; extra sides; restaurant logo or text; wilted, dry or plastic-looking food; fake or misplaced garnish; cluttered props; messy spills; watermark or caption bar; misspelled, invented or unapproved text or claims; unapproved health, nutrition or certification claims; HDR look, heavy vignette or oversaturated colour"
F4T-091,Carnitas Tacos,food-hero,f4t-091__carnitas-tacos.jpg,2048x2048,950,medium,pilot round 1,"Use case: food-hero | Asset type: menu photo - Snacks Shareable | Primary request: 3 tortillas with spicy smoky carnitas pork, fresh pineapple, parmesan and crema | Scene/backdrop: plain white or light-wood table, clean neutral background, no props beyond the dish and its own sides | Subject: Carnitas Tacos - the food or drink exactly as described, with the correct portion, container and garnish | Style/medium: natural daylight food photography, honest home-kitchen plating | Composition/framing: square 1:1 format | Lighting/mood: soft daylight from the side-left with gentle fill, natural shadows | Mood: honest, fresh, home-kitchen made - appetizing without looking staged | Color palette: fresh natural colours, plenty of green and red accents on white crockery, light wood and white surfaces | Materials/textures: real food texture: crumb and crust, glossy sauce, fresh herbs, natural moisture | Constraints: the dish exactly as the kitchen serves it (ingredients, portion, plating); fresh and appetizing at first glance; correct portion and garnish exactly as described; visible food texture (crumb, crust, glossy sauce, fresh herbs); steam only on hot dishes; photographic realism with one consistent light direction; colour, shape and proportions true to the reference image | Avoid: ingredients that are not in the description; extra sides; restaurant logo or text; wilted, dry or plastic-looking food; fake or misplaced garnish; cluttered props; messy spills; watermark or caption bar; misspelled, invented or unapproved text or claims; unapproved health, nutrition or certification claims; HDR look, heavy vignette or oversaturated colour"
F4T-025,Grilled Cheese,food-hero,f4t-025__grilled-cheese.jpg,2048x2048,1167,medium,pilot round 1; confirm with kitchen: side items,"Use case: food-hero | Asset type: menu photo - Sandwich | Primary request: Cheddar and mozzarella blend grilled between sourdough slices, cut diagonally | Scene/backdrop: plain white or light-wood table, clean neutral background, no props beyond the dish and its own sides | Subject: Grilled Cheese - the food or drink exactly as described, with the correct portion, container and garnish | Style/medium: natural daylight food photography, honest home-kitchen plating | Composition/framing: square 1:1 format | Lighting/mood: soft daylight from the side-left with gentle fill, natural shadows | Mood: honest, fresh, home-kitchen made - appetizing without looking staged | Color palette: fresh natural colours, plenty of green and red accents on white crockery, light wood and white surfaces | Materials/textures: real food texture: crumb and crust, glossy sauce, fresh herbs, natural moisture | Constraints: the dish exactly as the kitchen serves it (ingredients, portion, plating); fresh and appetizing at first glance; correct portion and garnish exactly as described; visible food texture (crumb, crust, glossy sauce, fresh herbs); steam only on hot dishes; photographic realism with one consistent light direction; colour, shape and proportions true to the reference image | Avoid: ingredients that are not in the description; extra sides; restaurant logo or text; wilted, dry or plastic-looking food; fake or misplaced garnish; cluttered props; messy spills; watermark or caption bar; misspelled, invented or unapproved text or claims; unapproved health, nutrition or certification claims; HDR look, heavy vignette or oversaturated colour"
F4T-094,Avocado Fries,food-hero,f4t-094__avocado-fries.jpg,2048x2048,1026,medium,pilot round 1,"Use case: food-hero | Asset type: menu photo - Snacks Shareable | Primary request: Avocado wedges in panko, fried golden, served with garlic aioli | Scene/backdrop: plain white or light-wood table, clean neutral background, no props beyond the dish and its own sides | Subject: Avocado Fries - the food or drink exactly as described, with the correct portion, container and garnish | Style/medium: natural daylight food photography, honest home-kitchen plating | Composition/framing: square 1:1 format | Lighting/mood: soft daylight from the side-left with gentle fill, natural shadows | Mood: honest, fresh, home-kitchen made - appetizing without looking staged | Color palette: fresh natural colours, plenty of green and red accents on white crockery, light wood and white surfaces | Materials/textures: real food texture: crumb and crust, glossy sauce, fresh herbs, natural moisture | Constraints: the dish exactly as the kitchen serves it (ingredients, portion, plating); fresh and appetizing at first glance; correct portion and garnish exactly as described; visible food texture (crumb, crust, glossy sauce, fresh herbs); steam only on hot dishes; photographic realism with one consistent light direction; colour, shape and proportions true to the reference image | Avoid: ingredients that are not in the description; extra sides; restaurant logo or text; wilted, dry or plastic-looking food; fake or misplaced garnish; cluttered props; messy spills; watermark or caption bar; misspelled, invented or unapproved text or claims; unapproved health, nutrition or certification claims; HDR look, heavy vignette or oversaturated colour"
