id,item_name,use_case,description,ref_images,aspect,delivery_px,format,text_verbatim,must_keep,must_avoid,asset_type,priority,notes
F4T-013,Classic Eggs Benedict,food-hero,"2 poached eggs with smoked ham on toasted bread, glossy hollandaise, side greens and tomato",,1:1,2048,jpeg,,"the dish exactly as the kitchen serves it (ingredients, portion, plating)",ingredients that are not in the description; extra sides; restaurant logo or text,menu photo - Eggs Brunch,high,pilot round 1; confirm with kitchen: side items; bread type
F4T-066,Hummus Wrap,food-hero,"Roasted eggplant, zucchini, capsicum and carrot with hummus in a tortilla, hummus pot on the side",,1:1,2048,jpeg,,"the dish exactly as the kitchen serves it (ingredients, portion, plating)",ingredients that are not in the description; extra sides; restaurant logo or text,menu photo - Healthy Wraps,high,pilot round 1
F4T-079,Swedish Pancakes,food-hero,"Thin folded pancakes topped with berry sauce, cream and fresh mint",,1:1,2048,jpeg,,"the dish exactly as the kitchen serves it (ingredients, portion, plating)",ingredients that are not in the description; extra sides; restaurant logo or text,menu photo - Waffles / Oats,high,pilot round 1
F4T-036,Caesar Salad,food-hero,"Roasted chicken breast, bacon, olives, parmesan, tomato, onion and cucumber over romaine with Caesar dressing",,1:1,2048,jpeg,,"the dish exactly as the kitchen serves it (ingredients, portion, plating)",ingredients that are not in the description; extra sides; restaurant logo or text,menu photo - Salads,high,pilot round 1; confirm with kitchen: current photo looks like a scoop; confirm it is sliced chicken
F4T-002,California Breakfast Set,food-hero,"1 chorizo sausage link, 2 poached eggs, fresh avocado, quinoa salad, sour-dough toast",,1:1,2048,jpeg,,"the dish exactly as the kitchen serves it (ingredients, portion, plating)",ingredients that are not in the description; extra sides; restaurant logo or text,menu photo - Breakfast Set,high,"pilot round 1; confirm with kitchen: how the eggs are served (shelled/broken), toast count"
F4T-003,F4T Full English,food-hero,"Full English breakfast; no black pudding - eggs, bacon, sausage, beans, tomato, mushrooms, toast",,1:1,2048,jpeg,,"the dish exactly as the kitchen serves it (ingredients, portion, plating)",ingredients that are not in the description; extra sides; restaurant logo or text,menu photo - Breakfast Set,high,pilot round 1; confirm with kitchen: exact components and count of each
F4T-067,Mushroom Burger,food-hero,"Shiitake mushroom patty with vegan cheese, yellow mustard and ketchup in a seeded bun, with fries",,1:1,2048,jpeg,,"the dish exactly as the kitchen serves it (ingredients, portion, plating)",ingredients that are not in the description; extra sides; restaurant logo or text,menu photo - Burger / Bagel,medium,pilot round 1
F4T-091,Carnitas Tacos,food-hero,"3 tortillas with spicy smoky carnitas pork, fresh pineapple, parmesan and crema",,1:1,2048,jpeg,,"the dish exactly as the kitchen serves it (ingredients, portion, plating)",ingredients that are not in the description; extra sides; restaurant logo or text,menu photo - Snacks Shareable,medium,pilot round 1
F4T-025,Grilled Cheese,food-hero,"Cheddar and mozzarella blend grilled between sourdough slices, cut diagonally",,1:1,2048,jpeg,,"the dish exactly as the kitchen serves it (ingredients, portion, plating)",ingredients that are not in the description; extra sides; restaurant logo or text,menu photo - Sandwich,medium,pilot round 1; confirm with kitchen: side items
F4T-094,Avocado Fries,food-hero,"Avocado wedges in panko, fried golden, served with garlic aioli",,1:1,2048,jpeg,,"the dish exactly as the kitchen serves it (ingredients, portion, plating)",ingredients that are not in the description; extra sides; restaurant logo or text,menu photo - Snacks Shareable,medium,pilot round 1
